id,activityType,startTime,activityTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories
205,Cardio,"Mon, 18 Apr 2016 7:17 PM",1:45:52,,,,128.0,177.0,,1288.0
206,Cardio,"Sat, 16 Apr 2016 8:14 PM",1:56:33,,,,112.0,168.0,,1107.0
207,Cardio,"Sat, 16 Apr 2016 8:20 AM",1:52:03,,,,100.0,152.0,,851.0
208,Cardio,"Fri, 15 Apr 2016 9:07 PM",15:02,,,,111.0,120.0,,138.0
209,Running,"Fri, 15 Apr 2016 8:49 PM",12:15,1.47,,8.19,149.0,161.0,,185.0
210,Cardio,"Fri, 15 Apr 2016 8:32 PM",15:04,,,,117.0,134.0,,153.0
211,Running,"Fri, 15 Apr 2016 8:18 PM",12:17,1.45,,8.28,148.0,157.0,,183.0
212,Cardio,"Wed, 13 Apr 2016 8:37 PM",1:51:38,,,,100.0,149.0,,856.0
213,Cardio,"Tue, 12 Apr 2016 8:11 PM",1:11:38,,,,105.0,140.0,,599.0
214,Cardio,"Tue, 12 Apr 2016 7:32 PM",20:05,,,,127.0,138.0,,237.0
215,Running,"Tue, 12 Apr 2016 7:12 PM",19:27,2.24,,8.4,154.0,170.0,,314.0
216,Cardio,"Tue, 12 Apr 2016 6:46 PM",20:04,,,,127.0,164.0,,237.0
217,Running,"Tue, 12 Apr 2016 6:29 PM",16:34,1.86,,8.54,148.0,167.0,,248.0
218,Cardio,"Mon, 11 Apr 2016 9:11 PM",1:38:29,,,,124.0,171.0,,1138.0
219,Cardio,"Sat, 9 Apr 2016 6:07 PM",1:55:01,,,,118.0,171.0,,1213.0
220,Running,"Fri, 8 Apr 2016 7:38 PM",15:11,1.43,,10.36,140.0,160.0,,209.0
221,Cardio,"Fri, 8 Apr 2016 7:17 PM",15:05,,,,89.0,130.0,,87.0
222,Running,"Fri, 8 Apr 2016 7:04 PM",12:33,1.44,,8.41,152.0,159.0,,195.0
223,Cardio,"Fri, 8 Apr 2016 6:47 PM",15:02,,,,106.0,171.0,,125.0
224,Running,"Fri, 8 Apr 2016 6:34 PM",12:57,1.42,,9.09,151.0,165.0,,205.0
225,Cardio,"Fri, 8 Apr 2016 6:17 PM",15:01,,,,119.0,175.0,,157.0
226,Running,"Fri, 8 Apr 2016 6:02 PM",14:24,1.54,,9.22,147.0,157.0,,215.0
227,Cardio,"Fri, 8 Apr 2016 5:45 PM",15:03,,,,94.0,151.0,,99.0
228,Cardio,"Thu, 7 Apr 2016 9:12 PM",1:49:40,,,,120.0,163.0,,1202.0
229,Cardio,"Wed, 6 Apr 2016 9:34 PM",8:04,,,,93.0,108.0,,51.0
230,Cardio,"Wed, 6 Apr 2016 7:51 PM",1:38:30,,,,93.0,137.0,,639.0
231,Cardio,"Tue, 5 Apr 2016 8:18 PM",58:55,,,,114.0,145.0,,577.0
232,Strength Training,"Tue, 5 Apr 2016 6:17 PM",1:20:53,,,,120.0,159.0,,884.0
233,Cardio,"Sun, 3 Apr 2016 11:46 AM",14:58,,,,94.0,142.0,,98.0
234,Strength Training,"Sun, 3 Apr 2016 9:58 AM",1:47:24,,,,83.0,143.0,,526.0
235,Strength Training,"Thu, 31 Mar 2016 8:16 PM",1:21:34,,,,125.0,173.0,,950.0
236,Strength Training,"Wed, 30 Mar 2016 7:58 PM",1:20:12,,,,110.0,171.0,,743.0
237,Cardio,"Tue, 29 Mar 2016 7:29 PM",15:04,,,,119.0,132.0,,159.0
238,Running,"Tue, 29 Mar 2016 6:55 PM",33:02,3.83,,8.38,149.0,162.0,,513.0
239,Strength Training,"Sat, 26 Mar 2016 4:25 PM",1:23:40,,,,120.0,160.0,,904.0
240,Strength Training,"Fri, 25 Mar 2016 8:09 PM",1:07:53,,,,100.0,151.0,,514.0
241,Running,"Fri, 25 Mar 2016 7:23 PM",34:22,3.87,,8.53,139.0,158.0,,474.0
242,Cardio,"Fri, 25 Mar 2016 6:48 PM",30:30,,,,109.0,140.0,,275.0
243,Strength Training,"Thu, 24 Mar 2016 9:02 PM",1:23:22,,,,110.0,159.0,,774.0
244,Strength Training,"Wed, 23 Mar 2016 8:00 PM",1:32:12,,,,110.0,148.0,,857.0
245,Strength Training,"Tue, 22 Mar 2016 8:06 PM",1:00:09,,,,103.0,143.0,,490.0
246,Cardio,"Tue, 22 Mar 2016 7:46 PM",7:34,,,,77.0,81.0,,12.0
247,Running,"Tue, 22 Mar 2016 7:33 PM",11:19,1.24,,9.07,141.0,160.0,,158.0
248,Cardio,"Tue, 22 Mar 2016 7:02 PM",28:13,,,,101.0,148.0,,224.0
249,Strength Training,"Mon, 21 Mar 2016 8:04 PM",1:49:23,,,,100.0,165.0,,837.0
250,Cardio,"Mon, 21 Mar 2016 10:41 AM",20:04,,,,127.0,143.0,,236.0
251,Running,"Mon, 21 Mar 2016 10:30 AM",10:52,1.17,,9.17,132.0,157.0,,138.0
252,Running,"Sun, 20 Mar 2016 6:00 PM",33:04,3.65,36.0,9.03,159.0,180.0,5130.0,481.0
253,Strength Training,"Sat, 19 Mar 2016 8:48 PM",1:46:49,,,,115.0,157.0,,1079.0
254,Running,"Sat, 19 Mar 2016 6:13 PM",11:45,1.41,,8.21,138.0,152.0,,156.0
255,Cardio,"Sat, 19 Mar 2016 5:45 PM",20:08,,,,125.0,143.0,,233.0
256,Running,"Sat, 19 Mar 2016 5:33 PM",10:08,1.22,,8.18,140.0,155.0,,137.0
257,Cardio,"Sat, 19 Mar 2016 5:19 PM",10:05,,,,125.0,136.0,,116.0
258,Cardio,"Sat, 19 Mar 2016 5:07 PM",10:01,,,,115.0,126.0,,98.0
259,Running,"Sat, 19 Mar 2016 4:58 PM",7:38,0.9,,8.27,141.0,158.0,,104.0
260,Cardio,"Sat, 19 Mar 2016 4:43 PM",10:04,,,,120.0,131.0,,106.0
261,Cardio,"Sat, 19 Mar 2016 4:31 PM",10:01,,,,100.0,146.0,,73.0
262,Running,"Fri, 11 Mar 2016 7:06 PM",1:28:20,5.32,,16.37,,,8674.0,713.0
263,Strength Training,"Wed, 9 Mar 2016 6:17 PM",1:30:04,,,,,,,207.0
264,Strength Training,"Tue, 8 Mar 2016 7:34 PM",7:45,,,,,,,11.0
